,ABANY,ABDEFECT,ABFELEGL,ABHELP1,ABHELP2,ABHELP3,ABHELP4,ABHLTH,ABINSPAY,ABMEDGOV1,ABMEDGOV2,ABMELEGL,ABMORAL,ABNOMORE,ABPOOR,ABPOORW,ABRAPE,ABSINGLE,ABSTATE1,ABSTATE2,ACQNTSEX,ACTSSOC,adminconsent,ADULTS,ADVFRONT
1,NO,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,The government should decide,NA,It depends,Morally opposed,NO,NO,ALWAYS WRONG,YES,NO,Neither easy nor hard,Make it harder,NA,Very good,R does not consent to possible data linkage,5,Strongly agree
2,YES,YES,It depends,No,No,No,No,YES,People should not be able,NA,A woman and her medical professional should decide,NA,It depends,YES,NO,NA,YES,YES,Easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,2,NA
3,NA,NA,NA,Yes,No,Yes,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,It depends,It depends,NA,NA,WRONG ONLY SOMETIMES,NA,NA,Very easy,Make it harder,NA,Excellent,R does not consent to possible data linkage,2,Disagree
4,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
5,NO,YES,NA,No,No,No,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,It depends,Morally opposed,NO,NO,NA,NO,NO,NA,Stay the same as now,NA,Excellent,R consents to possible data linkage,2,NA
6,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,2,Strongly agree
7,YES,YES,It depends,Yes,No,Yes,Yes,YES,People should be able,NA,The government should decide,NA,It depends,YES,YES,NA,YES,NO,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,NA
8,NO,YES,NA,Yes,No,Yes,Yes,YES,NA,A woman and her medical professional should decide,NA,It depends,It depends,NO,NO,NA,YES,NO,Neither easy nor hard,Stay the same as now,NA,Good,R consents to possible data linkage,1,NA
9,NA,NA,It depends,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,NOT WRONG AT ALL,NA,NA,Very easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,1,Agree
10,NA,NA,NA,Yes,No,No,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,It depends,Not morally opposed,NA,NA,NA,NA,NA,Neither easy nor hard,Stay the same as now,NA,Fair,R consents to possible data linkage,2,NA
11,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,Agree
