Mnemonic,Description
ABANY,ABORTION IF WOMAN WANTS FOR ANY REASON
ABCARE,HOW CONCERNED IS R ABOUT ABORTION
ABCHOOSE,SHOULD A WOMAN GET AN ABORTION FOR ANY REASON
ABCON1,1ST ARGUMENT AGAINST ABORTION
ABCON2,2ND ARGUMENT AGAINST ABORTION
ABCON3,3RD ARGUMENT AGAINST ABORTION
ABDEFCT1,LAW SHOULD ALLOW ABORTION FOR BIRTH DEFECTS
ABDEFCTW,WRONG FOR WOMAN TO GET ABORTION FOR BIRTH DEFECTS
ABDEFECT,STRONG CHANCE OF SERIOUS DEFECT
ABFELEGL,WOMEN ONLY: WOMEN SHOULD BE ABLE TO HAVE LEGAL ABORTIONS
ABFIRM,HOW FIRM IS R'S OPINION ON ABORTION
ABHAVE1,HAVE ABORTION IF PROBABLE DEFECT
ABHAVE2,HAVE ABORTION IF HEALTH ENDANGERED
ABHAVE3,HAVE ABORTION IF COULDN'T AFFORD CHILD
ABHELP1,R WOULD HELP WITH ARRANGEMENTS FOR ABORTION
ABHELP2,R WOULD HELP WITH PAYING FOR ABORTION
ABHELP3,R WOULD HELP WITH PAYING FOR ABORTION-RELATED OTHER COSTS
ABHELP4,R WOULD HELP WITH EMOTIONAL SUPPORT FOR ABORTION
ABHLTH,WOMAN'S HEALTH SERIOUSLY ENDANGERED
ABIMP,IMPORTANCE OF ABORTION ISSUE TO R
ABINFO,HOW MUCH INFO DOES R HAVE ON ABORTION
ABINSPAY,SHOULD   PEOPLE BE ABLE   TO  USE HEALTH   INSURANCE      FOR ABORTION  - VER   Y
ABLEGAL,SHOULD ABORTION EVER BE LEGAL
ABMEDGOV1,WOMAN AND    DOCTOR    OR  GOVT  SHOULD    DECIDE  WHAT   INFO NEEDED   FOR  ABORTION -  VER  X
ABMEDGOV2,Y
ABMELEGL,MEN ONLY: WOMEN SHOULD BE ABLE TO HAVE LEGAL ABORTIONS
ABMORAL,R HAS A MORAL OPPOSITION TO ABORTION
ABNOMORE,MARRIED--WANTS NO MORE CHILDREN
ABORCT,HEARD SUPREME COURT DECISION ON ABORTION
ABORT12,PAST 12 MONTHS R WEB TO LEARN ABORTION
ABPOOR,LOW INCOME--CANT AFFORD MORE CHILDREN
ABPOOR1,LAW SHOULD ALLOW ABORTION IF FAMILY LOW INCOME
ABPOORW,WRONG FOR WOMAN TO GET ABORTION IF LOW INCOME?
ABPRO1,1ST ARGUMENT FOR ABORTION
ABPRO2,2ND ARGUMENT FOR ABORTION
ABPRO3,3RD ARGUMENT FOR ABORTION
ABRAPE,PREGNANT AS RESULT OF RAPE
ABROAD,HOW LONG HAVE YOU LIVED IN OTHER COUNTRIES?
ABSENT,HOW MANY DAYS ABSENT FROM WORK PAST 6 MONTH
ABSINGLE,NOT MARRIED
ABSPNO,ABORTION IF HUSBAND OPPOSES
ABSTATE1,DIFFICULTY  OF OBTAINING    ABORTION   IN  R'S  STATE
ABSTATE2,ABORTION
ACCNTSCI,HOW SCIENTIFIC: ACCOUNTING
ACCPTOTH,R ACCEPT OTHERS EVEN WHEN THEY DO THINGS WRONG
ACQAsian,NUMBER OF ASIAN R IS ACQUAINTED WITH
ACQATTND,NUMBER OF REGULAR CHURCH ATTENDEE R IS ACQUAINTED WITH
ACQBLACK,NUMBER OF BLACK R IS ACQUAINTED WITH
ACQBRNDA,NUMBER OF BRENDA R IS ACQUAINTED WITH
ACQCHILD,NUMBER OF CHILD CARE WORKER R IS ACQUAINTED WITH
ACQCOHAB,NUMBER OF COHABITING PPLR IS ACQUAINTED WITH
ACQCON,NUMBER OF STRONG CONSERVATIVE R IS ACQUAINTED WITH
ACQCOPS,NUMBER OF POLICE OFFICER R IS ACQUAINTED WITH
ACQDEMS,NUMBER OF DEMOCRAT R IS ACQUAINTED WITH
ACQELECS,NUMBER OF ELECTRICIAN R IS ACQUAINTED WITH
ACQFMASN,NUMBER OF ASIAN FAMILY MEMBER
ACQFMBLK,NUMBER OF BLACK FAMILY MEMBER
ACQFMCOH,NUMBER OF COHABITING FAMILY MEMBER
ACQFMCON,NUMBER OF CONSERVATIVE IN FAMILY MEMBER
ACQFMGAY,NUMBER OF GAY FAMILY MEMBER
